id,name_id,name_en,description_id,description_en,price,image
1,Kaos Polos Premium,Plain Premium T-Shirt,Kaos katun combed 30s dengan jahitan rapi. Tersedia berbagai ukuran S-3XL.,Premium combed cotton 30s t-shirt with neat stitching. Available in sizes S-3XL.,75000,/images/placeholder.svg
2,Totebag Kanvas,Canvas Tote Bag,Tas belanja dari kanvas tebal dengan tali panjang. Cocok untuk daily use ataupun promosi.,Heavy-duty canvas shopping bag with long straps. Suitable for daily use or promotions.,45000,/images/placeholder.svg
3,Topi Baseball Custom,Custom Baseball Cap,Topi baseball dengan design bordir custom. Bahan twill berkualitas dengan adjustable strap.,Baseball cap with custom embroidery design. Quality twill material with adjustable strap.,35000,/images/placeholder.svg
4,Mug Keramik Premium,Premium Ceramic Mug,Mug keramik putih 350ml dengan printing full color. Microwave & dishwasher safe.,White ceramic mug 350ml with full color printing. Microwave & dishwasher safe.,40000,/images/placeholder.svg
5,Stiker Custom,Custom Sticker,Stiker cutting vinyl berkualitas tinggi. Tahan air dan cocok untuk outdoor/indoor.,High-quality vinyl cutting sticker. Water resistant and suitable for outdoor/indoor use.,5000,/images/placeholder.svg
6,Buku Catatan Premium,Premium Notebook,Buku catatan hardcover dengan kertas linen. Tersedia 3 ukuran dengan pilihan jahit spiral atau lem.,Hardcover notebook with linen paper. Available in 3 sizes with spiral or glued binding.,55000,/images/placeholder.svg
7,Tumbler Stainless,Tumbler Stainless,Tumbler stainless steel 500ml double-wall vacuum insulation. Cocok untuk minuman panas maupun dingin.,Stainless steel tumbler 500ml double-wall vacuum insulation. Suitable for hot and cold beverages.,95000,/images/placeholder.svg
8,Pin Akrilik Custom,Custom Acrylic Pin,Pin akrilik custom dengan desain full color. Tersedia bentuk bebas dengan finishing glossy.,Custom acrylic pin with full color design. Available in custom shapes with glossy finish.,15000,/images/placeholder.svg
9,ID Card Holder,ID Card Holder,Holder ID card vertical/horizontal dengan tali lanyard. Bahan PVC tebal tidak mudah kuning.,Vertical/horizontal ID card holder with lanyard. Thick PVC material that won't yellow easily.,12000,/images/placeholder.svg
10,Goodie Bag Custom,Custom Goodie Bag,Tas souvenir dari bahan spunbond tebal dengan printing one side full color.,Souvenir bag from thick spunbond material with one side full color printing.,8000,/images/placeholder.svg
